City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tuktoyaktuk,40,CA,1610245021,84,69.4541,-133.0374,-4.0,13.8
1,Verāval,13,IN,1610245081,59,20.9,70.3667,70.21,11.32
2,Rikitea,100,PF,1610245008,75,-23.1203,-134.9692,78.87,13.8
3,Tuatapere,89,NZ,1610244861,72,-46.1333,167.6833,64.0,21.99
4,Amberley,1,US,1610245081,86,39.2048,-84.428,28.99,1.59
5,Bredasdorp,99,ZA,1610244791,82,-34.5322,20.0403,62.6,6.91
6,Aklavik,79,CA,1610245052,92,68.2191,-135.0107,1.4,3.44
7,Ushuaia,75,AR,1610244788,87,-54.8,-68.3,46.4,19.57
8,Castro,100,BR,1610244835,96,-24.7911,-50.0119,64.98,8.43
9,Maceió,0,BR,1610244813,88,-9.6658,-35.7353,75.2,4.61
10,Sioux Lookout,90,CA,1610245030,93,50.1001,-91.917,21.2,4.61
11,Tilichiki,0,RU,1610245082,87,60.4667,166.1,-16.83,12.48
12,Souillac,75,MU,1610244769,89,-20.5167,57.5167,78.8,8.05
13,Mariehamn,90,AX,1610245082,75,60.0973,19.9348,33.8,5.75
14,Avarua,20,CK,1610245027,65,-21.2078,-159.775,84.2,8.05
15,Palmer,20,US,1610245083,55,42.1584,-72.3287,30.99,12.66
16,Thompson,1,CA,1610245026,92,55.7435,-97.8558,5.0,6.91
17,Nador,0,MA,1610245083,54,35.174,-2.9287,51.8,4.61
18,Bethel,1,US,1610245001,47,41.3712,-73.414,30.2,8.05
19,Cape Town,75,ZA,1610244950,77,-33.9258,18.4232,66.99,18.41
20,Puerto Ayora,12,EC,1610245009,91,-0.7393,-90.3518,75.0,1.99
21,Hermanus,100,ZA,1610245007,94,-34.4187,19.2345,63.0,11.7
22,Rawson,93,AR,1610245083,26,-43.3002,-65.1023,70.86,27.31
23,Balkhash,0,KZ,1610245084,77,46.844,74.9804,-7.6,11.18
24,Los Llanos de Aridane,90,ES,1610245084,58,28.6585,-17.9182,59.0,6.91
25,Narsaq,75,GL,1610245022,39,60.9167,-46.05,42.8,24.16
26,Kapaa,75,US,1610245012,83,22.0752,-159.319,79.0,6.91
27,Gemeente Heerenveen,16,NL,1610244917,92,52.95,5.9333,33.01,5.23
28,Broome,1,US,1610245044,74,42.2506,-75.833,26.01,8.05
29,Vaini,75,TO,1610245005,84,-21.2,-175.2,84.2,8.05
30,Grindavik,75,IS,1610245031,74,63.8424,-22.4338,24.8,6.91
31,Norden,97,DE,1610245085,88,53.6,7.2,33.01,4.0
32,Port Alfred,22,ZA,1610245009,86,-33.5906,26.891,69.01,5.01
33,Saint-Joseph,0,RE,1610245016,60,-21.3667,55.6167,75.2,5.75
34,Tignère,92,CM,1610245085,28,7.3667,12.65,63.57,0.92
35,Eilat,0,IL,1610245085,53,29.5581,34.9482,61.23,8.23
36,Oranjemund,1,NA,1610245085,86,-28.55,16.4333,61.75,14.7
37,Punta Arenas,90,CL,1610244724,81,-53.15,-70.9167,46.4,10.36
38,Tecpan,75,GT,1610245086,88,14.7623,-90.9947,57.2,18.41
39,Coahuayana Viejo,20,MX,1610245053,73,18.7333,-103.6833,71.6,0.51
40,Frunze,51,UA,1610245086,93,48.6686,38.7544,29.52,8.79
41,Cidreira,0,BR,1610245028,81,-30.1811,-50.2056,77.34,17.78
42,Nikolskoye,0,RU,1610245005,85,59.7035,30.7861,6.01,4.47
43,San Roque,90,ES,1610245086,76,36.2107,-5.3842,48.2,12.66
44,Fortuna,1,US,1610245058,87,40.5982,-124.1573,50.0,8.05
45,Benguela,99,AO,1610245086,73,-12.5763,13.4055,73.94,4.65
46,Hobart,20,AU,1610244773,52,-42.8794,147.3294,80.01,16.11
47,Albany,99,US,1610244776,57,42.6001,-73.9662,27.0,3.0
48,Iqaluit,90,CA,1610245036,79,63.7506,-68.5145,12.2,2.3
49,Khatanga,50,RU,1610245007,85,71.9667,102.5,-30.68,4.54
50,Kabanjahe,75,ID,1610245087,100,3.1001,98.4908,78.8,5.75
51,Padang,40,ID,1610245050,78,-0.9492,100.3543,78.8,2.3
52,San Juan de Urabá,100,CO,1610245087,86,8.7592,-76.5297,77.04,4.47
53,Port Elizabeth,0,ZA,1610244778,83,-33.918,25.5701,68.0,16.11
54,Bambanglipuro,93,ID,1610245087,69,-7.95,110.2833,84.38,4.38
55,Salta,40,AR,1610244837,88,-24.7859,-65.4117,69.8,3.44
56,Barra de Tecoanapa,5,MX,1610245088,82,16.5167,-98.75,77.13,7.52
57,Tiarei,75,PF,1610245088,65,-17.5333,-149.3333,84.2,10.36
58,Boca do Acre,92,BR,1610245088,76,-8.7522,-67.3978,78.03,2.19
59,Palm Valley,0,US,1610245088,26,30.1775,-81.3876,44.01,8.52
60,Dindori,19,IN,1610245088,82,22.95,81.0833,62.06,4.92
61,Lagoa,99,PT,1610245023,62,39.05,-27.9833,56.82,8.14
62,Ust'-Koksa,100,RU,1610245049,81,50.2696,85.6108,-0.63,2.08
63,Kasongo-Lunda,8,CD,1610245088,94,-6.4667,16.8167,66.33,1.05
64,Novo Oriente,100,BR,1610245089,56,-5.5344,-40.7742,78.8,4.29
65,Saint-Philippe,0,RE,1610245008,60,-21.3585,55.7679,75.2,5.75
66,Upernavik,100,GL,1610245004,83,72.7868,-56.1549,11.07,10.67
67,Busselton,100,AU,1610245005,76,-33.65,115.3333,72.0,8.01
68,Jamestown,90,US,1610245010,93,42.097,-79.2353,30.0,5.75
69,Mandalgovi,100,MN,1610245089,83,45.7625,106.2708,-0.81,7.96
70,Dikson,100,RU,1610244863,91,73.5069,80.5464,-3.57,15.05
71,Saint-Pierre,0,RE,1610245089,60,-21.3393,55.4781,75.2,5.75
72,Camacha,40,PT,1610245027,62,33.0833,-16.3333,57.2,23.02
73,Mar del Plata,0,AR,1610244902,72,-38.0023,-57.5575,68.0,13.8
74,Lepaterique,75,HN,1610245090,94,14.0667,-87.4667,62.6,11.5
75,Arraial do Cabo,0,BR,1610245009,91,-22.9661,-42.0278,76.91,15.7
76,Chapais,90,CA,1610245052,92,49.7834,-74.8492,15.8,6.78
77,Turukhansk,98,RU,1610245090,89,65.8167,87.9833,-9.71,4.65
78,Itaberaba,0,BR,1610244913,79,-12.5275,-40.3069,74.3,5.5
79,Hilo,20,US,1610245029,57,19.7297,-155.09,80.6,11.5
80,Waddān,37,LY,1610245090,26,29.1614,16.139,66.96,10.42
81,Lorengau,100,PG,1610245019,59,-2.0226,147.2712,86.16,5.19
82,Airai,100,TL,1610245018,91,-8.9266,125.4092,72.57,1.48
83,Matara,100,LK,1610244911,87,5.9485,80.5353,75.13,5.53
84,São João da Barra,98,BR,1610245023,88,-21.6403,-41.0511,77.22,14.99
85,New Norfolk,37,AU,1610245029,26,-42.7826,147.0587,81.0,3.0
86,Ponta do Sol,64,PT,1610245016,72,32.6667,-17.1,53.01,3.0
87,Pauini,99,BR,1610245073,89,-7.7136,-66.9764,75.29,2.86
88,Mil'kovo,100,RU,1610245091,90,54.7167,158.6167,11.53,6.78
89,Quelimane,20,MZ,1610245092,83,-17.8786,36.8883,78.8,4.12
90,Hithadhoo,100,MV,1610245038,74,-0.6,73.0833,81.1,11.21
91,Mabaruma,80,GY,1610245046,97,8.2,-59.7833,73.47,4.92
92,Harar,1,ET,1610245092,62,9.3094,42.1258,52.72,3.78
93,Ancud,90,CL,1610245051,87,-41.8697,-73.8203,53.01,9.22
94,San Quintín,0,MX,1610245092,76,30.4833,-115.95,58.75,6.71
95,Lebu,0,CL,1610244861,87,-37.6167,-73.65,54.63,6.91
96,Bisceglie,75,IT,1610245092,100,41.242,16.5044,44.6,3.44
97,Guaratinga,40,BR,1610245093,83,-16.5667,-39.5667,78.8,8.05
98,Mauá,90,BR,1610245093,78,-23.6678,-46.4614,71.6,6.91
99,Cherskiy,98,RU,1610245070,85,68.75,161.3,-27.63,4.34
